ESYS_PWD,X,16,0
EVE_CD,X,2,0
EVEN_CD,X,8,0
EVENTNO,9,3,0
EX_AP_NO,X,20,0
EX_CD,X,6,0
EX_NO,X,12,0
EX_RAT,S,14,8
EX_TMS,9,3,0
EXBL_NO,X,16,0
EXCL_DAT,X,1000,0
EXEM_CD,X,1,0
EXGUNIT,9,7,0
EXRA_CD,X,3,0
EXRA_SRC,X,1,0
EXREF_NO,X,32,0
EXRT_FRQ,9,4,0
EXSEQ,9,9,0
EXSTM_CD,X,3,0
EXT_APP,X,3,0
EXT_CINO,X,32,0
EXT_PATH,X,132,0
EXT_TM,X,17,0
EXTFL_ID,X,30,0
FAC_CTLW,X,16,0
FAE_CTLW,X,8,0
FAREF_NO,X,6,0
FATC_STS,X,1,0
FATCA_NO,X,6,0
FATCA_TP,X,1,0
FAV_CODE,X,6,0
FCHK_TYP,X,1,0
FEA_CD,X,5,0
FECO_CD,X,3,0
FEE,S,16,2
FEE_CD,X,5,0
FEE_MASK,X,254,0
FEE_RAT,S,5,2
FEEA_TYP,X,1,0
FEEC_TYP,X,2,0
FEEE_CD,X,3,0
FEERG_NO,X,6,0
FEX_ATTR,X,1,0
FFTM_CD,X,3,0
FII_CD,X,15,0
FILE_ID,X,8,0
FILER_22,X,22,0
FILL_386,X,386,0
FIN_FRM,X,2,0
FIN_LVL,X,1,0
FIN_SCAL,X,1,0
FIN_TYP,X,6,0
FIX_LVL,X,2,0
FIX_NO,X,11,0
FIX_TYP,X,6,0
FLAG,X,5,0
FLD_CTLW,X,1,0
FLD_LEN,X,20,0
FLD_NM,X,8,0
FLD_TYP,X,1,0
FLDNO,S,4,0
FLG,X,1,0
FLOSCP,S,14,8
FLS_SRC,X,60,0
FLS_VER,X,10,0
FLT_RAT,S,5,3
FM_COMP,X,20,0
FM_CTACT,X,12,0
FMT_CD,X,5,0
FOLL_STS,X,2,0
FOOTG,X,180,0
FQTY,9,9,0
FRE_CD10,X,10,0
FREE_CD5,X,5,0
FSTA_CD,9,2,0
FTZ_CD,X,2,0
FUNC,X,1,0
FUND_TYP,X,1,0
FX_C_NO,X,15,0
FXA_STSW,X,10,0
FXAT_KND,X,1,0
FXLMT_TP,X,2,0
FXRF_FLG,X,1,0
FXRQ_KND,X,1,0
FXSC_MTH,X,1,0
FXSCP,S,14,8
FXSG_MTH,X,1,0
FXSP_MTH,X,1,0
FXSTK_NO,X,8,0
FXTN_KND,9,2,0
GCODE,X,3,0
GEN_ADDR,M,60,0
GEN_CNM,M,60,0
GEN_CNMS,C,30,0
GEN_ENM,X,70,0
GEN_ENMS,X,35,0
GEN_NO3,X,3,0
GEN_NO6,X,6,0
GGM_TYP,X,1,0
GIIN_NO,X,19,0
GIIN1,X,6,0
GIIN2,X,5,0
GIIN3,X,2,0
GIIN4,X,3,0
GL_AC,X,25,0
GL_BOOK,X,5,0
GL_MSTNO,9,6,0
GLMST_PT,X,1,0
GM_AC,X,25,0
GOODS,X,110,0
GOODS_NO,X,11,0
GOODS_TY,X,2,0
GRA_DAYS,9,5,0
GREG_CD,X,2,0
GRM_TYP,X,1,0
GROP_NO,X,1,0
GRP_CLS,X,1,0
GRP_MLVL,X,1,0
GRP_MMOD,X,1,0
GRP_NO,X,12,0
GRP_TYP,X,1,0
GRPS_NM,M,30,0
GRPS_NO,X,6,0
GRPS_TYP,X,3,0
GTEE_NO,9,10,0
HCHK_CD,X,4,0
HCOL_KND,9,6,0
HECO_CD,X,5,0
HHMM_TM,9,4,0
HIGH_ORG,X,70,0
HK_M_CD,X,25,0
HKBRC,X,15,0
HKCI,X,10,0
HLD-MTH,X,1,0
HLD-OVR,X,1,0
HLD_CD,X,2,0
HLD_NO,X,6,0
HOU_TYP,X,2,0
HOUR,9,2,0
HQTY,9,4,0
HSC_CTLW,X,20,0
HSCLR_NO,X,8,0
I_DAYS,S,6,0
IA_AC,X,25,0
IA_SEQ,9,5,0
IA_TYP,X,1,0
IB_AC,X,25,0
IB_TYP,X,1,0
IBAN,X,34,0
IBEXT_AC,X,18,0
IC_CARD,X,10,0
ICNTY_NO,X,6,0
ID_LVL,X,1,0
ID_NO,X,30,0
ID_RGN,X,4,0
ID_SEQ,X,2,0
ID_STS,X,2,0
ID_TYP,X,5,0
IDX_CD,X,7,0
IMG_DAT,B,8192,0
IMG_NO,X,20,0
IN_CARD,X,10,0
INCD_CD,X,7,0
INDIC_CD,X,2,0
INP_DAT,X,8192,0
INPAY_TP,X,2,0
INPD_CHA,X,40,0
INS_CD,X,4,0
INS_INF,X,30,0
INS_NM,X,32,0
INS_NO,X,20,0
INSGOODS,X,400,0
INSTPYBK,X,780,0
INSUR_CD,X,8,0
INT,9,17,3
INT_CLS,X,2,0
INT_DAYS,9,3,0
INT_RAT,S,12,8
INT_SEQ,X,14,0
INT_STD,X,2,0
INT_STS,X,2,0
INT_SUB,C,60,0
INT_TYP,X,2,0
INTA_CD,X,6,0
INVOI_NO,X,12,0
IP_ADDR,X,15,0
IRAT_CD,X,10,0
IS_ENCR,X,16,0
ISO_TYP,X,1,0
ITEM_NO,X,6,0
ITM,X,10,0
ITM_CD,X,6,0
ITM_ENM,X,80,0
ITM_KND,X,1,0
ITM_LVL,9,1,0
ITM_MAIN,X,4,0
ITM_NM,M,80,0
ITM_PT,X,3,0
ITM_SSS,X,4,0
ITM_STS,X,1,0
ITM_SUB,X,2,0
ITM_T,9,16,0
ITM_TYP,X,2,0
ITMG_NO,X,12,0
ITMP_TYP,X,1,0
JJ,9,3,0
JOB_RMK,M,10,0
JOUR_14,X,14,0
JRN_SEQ,9,4,0
JRNNO,9,12,0
JUL_DT,9,7,0
KN_ST_NM,X,10,0
KND,X,3,0
L_SEQNO,9,15,0
LAC_STSW,X,128,0
LANG_CD,X,2,0
LAW_CODE,X,20,0
LC_TAILG,X,2,0
LC_TYP,X,1,0
LCFLG,X,1,0
LDAP_ID,X,20,0
LDP_NO,9,10,0
LECG_CD,X,5,0
LEI,X,25,0
LEN,9,9,0
LEN_6,9,6,0
LG_RSN,X,25,0
LIC_NO,X,15,0
LKUP_CD,X,10,0
LMT,9,16,2
LMT_AMT,9,18,0
LMT_KND,X,8,0
LMT_NO,9,10,0
LMT_NS,9,16,2
LMT_S,S,16,2
LMT_STSW,X,8,0
LN_AC,X,25,0
LN_MTH,X,1,0
LN_PSCD,X,3,0
LN_USGCD,X,3,0
LNMIP_NO,X,10,0
LNREF_NO,X,20,0
LNUSA_CD,X,3,0
LOAN_NO,9,8,0
LOC_OAC,X,32,0
LST_ATTR,X,1,0
LST_CLS,X,2,0
LVL,9,2,0
MAP_CD,X,5,0
MARI,X,2,0
MARKIT,X,25,0
MATCHSEQ,X,12,0
MBTMSGNO,9,3,0
MC_NO,X,8,0
MCH_MTH,X,1,0
MDRM,M,600,0
MED_CTLW,X,20,0
MERCH_CD,X,15,0
MERCT_CD,X,4,0
MESP_STS,X,5,0
MESS_TYP,X,3,0
MIN,9,2,0
MIX_ADDR,M,100,0
MM,X,2,0
MMDD,9,4,0
MMO,X,3,0
MMO_4,X,4,0
MOD,X,1,0
MON,9,2,0
MON_STSW,X,12,0
MONS,S,4,0
MONTH_CD,X,3,0
MOVE_FLG,X,1,0
MOVE_KND,X,1,0
MRDM,M,600,0
MSG,M,60,0
MSG_CCTS,X,1,0
MSG_DESC,X,50,0
MSG_KEY,X,19,0
MSG_LVL,X,1,0
MSG_NM,X,25,0
MSG_REF,X,16,0
MSG_STS,X,5,0
MSG_TYP,X,1,0
MSG_TYP2,X,4,0
MSG_187,X,187,0
MSG_79,X,79,0
MSG_88,X,88,0
MSGC_NM,X,25,0
MSGT_100,X,100,0
MSGX_LEN,X,6,0
MT_BUF,X,4486,0
MT_DATE,9,6,0
MTDS_NM,M,50,0
MTH,X,1,0
MUL_IND,S,1,0
M199_DES,X,1750,0
M210,M,210,0
M300,M,300,0
M35,M,35,0
M760_DEC,V,9100,0
M760_DES,V,9100,0
NAME,M,140,0
NARR_CD,X,6,0
NARRA,X,250,0
NAT_CD,9,2,0
NED_TYP,X,3,0
NET_ADDR,X,255,0
NM_TYP,X,2,0
NMR_DENR,9,3,0
NOEXT_AC,X,25,0
NOSAC_CD,X,15,0
NOSTR_CD,X,22,0
NRA_BNK,X,1,0
NTN_CD,X,2,0
NUM,9,4,0
NUM_1,9,1,0
NUM_13,9,13,0
NUM_2,9,2,0
NUM_6,9,6,0
NUM_9,9,9,0
N01,9,1,0
N02,9,2,0
N03,9,3,0
N04,9,4,0
N05,9,5,0
N06,9,6,0
N07,9,7,0
N08,9,8,0
N09,9,9,0
N10,9,10,0
N11,9,11,0
N12,9,12,0
N13,9,13,0
N14,9,14,0
N15,9,15,0
N16,9,16,0
N17,9,17,0
N18,9,18,0
OBCNO_X,X,13,0
OCCP_CD,X,5,0
OCCP_STS,X,1,0
OFFS_MTH,X,1,0
OFFSET,S,5,0
OFMT_CD,X,3,0
OIC_NO,X,10,0
OLD_AC,X,32,0
OP_CD,X,4,0
OP_PRO,X,1,0
OPER_CD,X,3,0
OPT,X,1,0
OPT_TYPE,X,3,0
OR_CD,X,5,0
ORG_FNM,M,90,0
ORG_LVL,X,1,0
ORIGIN,X,1,0
OS_ENCR,X,8,0
OSCP_TYP,X,1,0
OSH_AC,X,35,0
OT_NUM,X,25,0
OTERMS1,X,3640,0
OTERMS2,X,2800,0
OTERMS3,V,3250,0
OTERMS4,V,6435,0
OTH_BK,X,14,0
OTH_REF,X,16,0
OUT_AC,X,32,0
OUT_CINO,X,12,0
OUT_CTLW,X,32,0
OUT_ITM,9,10,0
OUT_MSG,X,2000,0
P_CDENC,X,100,0
P_CDLEN,9,2,0
P_CDTYP,X,15,0
P_TERM,X,2,0
PAGE_ROW,9,2,0
PARA_CD,X,40,0
PAY_MTH,X,1,0
PB_AP_NO,X,20,0
PB_NM,X,60,0
PB_NO,X,6,0
PB_TYPE,X,2,0
PBCD_KND,X,5,0
PBCD_NO,X,10,0
PCT,9,5,2
